/atg/commerce/catalog/SecureProductCatalog:coverSku, ,TIMEFORMAT=M/d/yyyy h:mm a, ,LOCALE=en_US,
ID,acaBadge,additionalDetails,addedMaterialTypes,hasAdjustableHeadrest,hasAdjustableLumbar,altImages,archCoverAvlb,archwayID,atAGlanceContent,ar_enabled,auxiliaryMedia,bundleLinks,capCode,careFeatures,cleaningCode,collectionName,coverColor,colorDescription,colorNumber,commodityCode,colorFamilyImages,coverStatus,coverType,description,discountable,displayHeader,dynamicAttributes,endDate,faceContents,wtbFeatureImg1,wtbFeatureImg1Alt,wtbFeatureImg1Caption,wtbFeatureImg2,wtbFeatureImg2Alt,wtbFeatureImg2Caption,fractionalQuantitiesAllowed,fulfiller,grade,headerText,hasHeatMassage,hideAGlance,hideForCA,hideStillDeciding,hideForTextSearch,skuDocUrl,isPillowOptions,itemAcl,largeImage,wtbLeftImg,hasLiftFunction,linkDescription,listPrice,madeInUSABadge,manufacturer_part_number,mostPopular,isNew,nonreturnable,numberOfCushions,onSale,onlineExclusive,onlineExclusiveText,onlineOnly,patternName,pdpDefaultImage,perfectForInfo,performanceFabricFlag,cdpDefaultImage,cdpMouseOverImage,hasPower,productCategoryCode,prodCategoryDesc,belowFoldVideoMedia,isPurchaseable,quantity,fixedReplacementProducts,romanceCopy,salePrice,series,showOnline,dimensionImage,isSleeper,smallImage,sortOrder,startDate,status,stillDecidingLinks,hasStorage,template,thumbnailImage,unitOfMeasure,unsearchable,hasUsbChargingPort,useCareInstructions,belowFoldHowToMedia,videos,warrantyInfo,wearDatedId,wearability,wholesalePrice
FL165087,false,,,,,,false,,,,,,LL,,L,Chair,87,Marina,,,,A,leather,LZB Chair,true,,,,100% Leather,,,,,,,,,FL,,,,false,,true,,,,,,,,,false,,false,false,false,,false,,,false,,,,false,,,,CH,,,false,,,,,1650,false,,,,,,D,,,,,,true,,,,,,,9,
C160708,false,,,,,,false,,,,,,DR,,S,Major Upholstery,08,Merlot,,,,A,fabric,"Monaghan is a 100% polyester chenille body cloth/texture design featuring a ripple type weave influence. A space dye, multi-color fancy yarn is used between each chenille pick to add a subtle color interest.",true,,,,100% Polyester,,,,,,,,,C,,,,false,,true,,,,,,,,,false,,false,false,false,,false,,,false,Secondary,,,false,,,,MU,,,false,,,,,1607,false,,,,,,D,,,,,,true,,,,,,,2,
G167887,false,,,,,,false,,,,,,UR,,WS,Major Upholstery,87,Midnight,,,,A,fabric,Piet was inspired by artist Piet Mondrian who mastered the simple geometric elements of composition. The modern simplicity of Piet is perfect for decorative accent pillows and chairs.,true,,,,100% Polyester,,,,,,,,,G,,,,false,,true,,,,,,,,,false,,false,false,false,,false,,,false,Plaids & Stripes,,,false,,,,MU,,,false,,,,,1678,false,,,,,,D,,,,,,true,,,,,,,2,
B142056,false,,,,,,false,,,,,,DR,,W,Major Upholstery,56,Mineral,56,CL,,A,fabric,"Holden is woven with special yarns that gives this semi-plain fabric visual interest plus a soft hand. The subtle mingle of color, coordinates well with many ""Life Style"" room settings and other more decorative fabrics.",true,,,,100% Polyester,,,,,,,,,B,,,,false,,true,,,,,,,,,false,,false,false,false,,false,,,false,Solids,,,false,,,,MU,,,false,,,,,1420,false,,,,,,D,,,,,,true,,,,,,,2,
B144378,false,,,,,,false,,,,,,UR,,S,Major Upholstery,78,Mocha,78,CL,,A,fabric,Andromeda is a woven piece dyed solid that emulates a short pile velvet like finish. The pattern has a herringbone background which when piece dyed in colors gives the pattern a nice subtle contrast.  Andromeda is a micro denier and is value priced.,true,,,,100% Polyester,,,,,,,,,B,,,,false,,true,,,,,,,,,false,,false,false,false,,false,,,false,Solids,,,false,,,,MU,,,false,,,,,1443,false,,,,,,D,,,,,,true,,,,,,,2,
D162628,false,,,,,,false,,,,,,DR,,WS,Major Upholstery,28,Moss,,,,A,fabric,"A deep, textured print on a knit base cloth, Timber’s plush and substantial feel makes it a perfect fit for any home environment.",true,,,,100% Polyester,,,,,,,,,D,,,,false,,true,,,,,,,,,false,,false,false,false,,false,,,false,Solids,,,false,,,,MU,,,false,,,,,1626,false,,,,,,D,,,,,,true,,,,,,,2,
E166087,false,,,,,,false,,,,,,DR,,S,Major Upholstery,87,Navy,,,,A,fabric,"Davis is a basket weave, medium weight upholstery fabric. This dimensional fabric features high and low tonal contrast, adding textural interest. This fabric is sure to become a staple for any room.",true,,,,100% Polyester,,,,,,,,,E,,,,false,,true,,,,,,,,,false,,false,false,false,,false,,,false,Secondary,,,false,,,,MU,,,false,,,,,1660,false,,,,,,D,,,,,,true,,,,,,,2,
C160786,false,,,,,,false,,,,,,DR,,S,Major Upholstery,86,Navy,,,,A,fabric,"Monaghan is a 100% polyester chenille body cloth/texture design featuring a ripple type weave influence. A space dye, multi-color fancy yarn is used between each chenille pick to add a subtle color interest.",true,,,,100% Polyester,,,,,,,,,C,,,,false,,true,,,,,,,,,false,,false,false,false,,false,,,false,Secondary,,,false,,,,MU,,,false,,,,,1607,false,,,,,,D,,,,,,true,,,,,,,2,
B157787,false,,,,,,false,,,,,,UR,,WS,Chair,87,Navy,,,,A,fabric,"With its soft feel and appealing texture, Denali is a wonderful printed velvet. This pattern creates harmonious and handsome colorways. Denali uses a slight ribbed texture, enhancing its fantastic hand.",true,,,,100% Polyester,,,,,,,,,B,,,,false,,true,,,,,,,,,false,,false,false,false,,false,,,false,Secondary,,,false,,,,CH,,,false,,,,,1577,false,,,,,,D,,,,,,true,,,,,,,2,
E166032,false,,,,,,false,,,,,,DR,,S,Major Upholstery,32,Oat,,,,A,fabric,"Davis is a basket weave, medium weight upholstery fabric. This dimensional fabric features high and low tonal contrast, adding textural interest. This fabric is sure to become a staple for any room.",true,,,,100% Polyester,,,,,,,,,E,,,,false,,true,,,,,,,,,false,,false,false,false,,false,,,false,Secondary,,,false,,,,MU,,,false,,,,,1660,false,,,,,,D,,,,,,true,,,,,,,2,
